Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-D3-A2J7-06A-11R-A18T-07	0.0427371826720885	0	0.0320236728341474	0.140937757511594	0	0.0772175289010755	0.00768298969893362	0.117162651952689	0.0855806307747159	0	0.0262295263362928	0	0.0182380659150036	0.265252071239149	0.0715053462757853	0.0982921743526709	0	0	0.0171404015358545	0	0	0	0	0.680004582042489	0.76453234004017
TCGA-EE-A20B-06A-11R-A18U-07	0.0483781615394869	0	0.0137373495463539	0.188047001526758	0	0.0718714483164562	0.00771588551732764	0.067587482907681	0.0880442272999081	0	0.0588421926190686	0	0.0264921069853287	0.129012003863001	0.0600327011672522	0.194530409441622	0.00491983878324018	0	0.0407891904865154	0	0	0	0	0.605923978941738	0.812850191817032
TCGA-ER-A19N-06A-11R-A18S-07	0.0522672154441428	0	0.0336670152021705	0.164469985672146	0	0.026938982036543	0.00808160070402218	0.0721621442116031	0.0654252398004267	0	0.00787423993876216	0	0.0210223313298851	0.224569134705413	0.0561818093945036	0.238747443500758	0.00329353106910555	0	0.0222684607517853	0	0	0.00303086623873266	0	0.777639659608399	0.706283030765188
TCGA-EE-A2GT-06A-12R-A18S-07	0.179549657884809	0.0304715452314405	0.00123407629912956	0.129531197770471	0.0614348026495548	0.0394220152036171	0	0.0790147673442643	0.104168904037151	0	0.0424842035277389	0	0.00716725982777684	0.130408574330283	0.0155761146437876	0.168741025846637	0	0.00116453620079681	0.00963131920254284	0	0	0	0	0.782703902313292	0.707032812956014
TCGA-GN-A264-06A-11R-A18U-07	0.0200334996067612	0.00310705725328181	0.00825175760484147	0.078152086533657	0	0.160338935077008	0	0.0942892656941237	0.00871653860376236	0	0.0242970564910082	0	0.00860154022844498	0.25254102645252	0.0181004009032058	0.278484763551156	0	0	0.0445787993536841	0	0	0.000507272646546289	0	0.415869739473824	0.911506818562862
TCGA-FR-A726-01A-11R-A32P-07	0.0199101562868615	0	0.08512107883748	0.0266479652409032	0	0.0459567560587342	0	0.0803585732452452	0.0214558635635373	0	0.0575214802123707	0	0.0171552658230484	0.344641568470344	0.0176078380196027	0.208016552864062	0	0.0315483587277296	0	0.0200358839488827	0	0.0240226587011981	0	0.452068915222739	0.893179524337623
TCGA-EB-A57M-01A-51R-A311-07	0.0678009251347153	0	0.0644666639770213	0.0652335302078944	0	0.068544343565875	0	0.04562553028015	0.0858909610701504	0	0.0877521321370126	0	0.042278072146225	0.0730801477904713	0.0189453267407673	0.185614380087963	0.00534210388467446	0.0345577166089646	0.138249734739285	0	0	0.0166184316288305	0	0.527343019687361	0.862306508596922
TCGA-FS-A4FC-06A-11R-A24X-07	0.0324985395971119	0	0.014671488561787	0.0824614109904415	0	0.0342461530011057	0.00474358280805326	0.102171052190565	0.0618951004134995	0	0.0382984593577605	0.00761012490138487	0.0123855204770536	0.292179960474614	0.0981298578843183	0.162097849747971	0.00760110209017208	0	0.0490097975041609	0	0	0	0	0.520618852744863	0.854094832016124
TCGA-GN-A8LN-01A-11R-A37K-07	0.00740820420285535	0.0347917857731526	0.0589422212818005	0.0529373328284332	0	0.0711961690435317	0.00161596859731474	0.0944158681511884	0.0162488263412262	0	0.024191747870817	0.000137341264542395	0.0543396450907906	0.193552993547368	0.0672328071930854	0.310396170466723	0	0	0	0.01011452453143	0	0.00247839381574148	0	0.46835610724363	0.882953221888506
TCGA-BF-A9VF-01A-11R-A37K-07	0.0282660055712176	0	0.0781371375669192	0.187046334848795	0	0	0	0.14154705247732	0.021741066774815	0	0.0889856553018227	0.0182559912949541	0.00542820533949405	0.191472971236461	0.0260700803653287	0.181351232058163	0.00374921122410463	0.00208402355121079	0	0.0258650323893944	0	0	0	0.257369914698915	0.984810230945562
TCGA-FS-A4F9-06A-11R-A24X-07	0.0931733954890125	0	0.0975472792031011	0.0447099717544975	0	0	0.00485496740020839	0.138732671971449	0.00911450295751999	0	0.0830570722636755	0	0	0.16517655238401	0.0368401797208936	0.28103436977053	0	0	0.0432965173285133	0	0.00246251975658988	0	0	0.23675911070498	0.987889514728344
TCGA-D9-A3Z1-06A-11R-A239-07	0.0269287457313697	0.0240234116013769	0.0683760742284625	0.187869461735553	0	0.0178500581183807	0.020050797463124	0.122265155703964	0.0557190902301345	0	0.042438743894494	0.0111505471030693	0	0.12287580775051	0.0534373900321953	0.220971814014768	0.00614233590387652	0	0.0199005664887216	0	0	0	0	0.63459851463193	0.800197293948959
TCGA-D3-A1Q4-06A-11R-A18T-07	0.067343659520155	0.013427680453869	0.0397491773107041	0.0066030712729406	0	0.10280699480302	0	0.0654248682810881	0.040486785585026	0	0.0349704436454641	0	0	0.265674732583016	0.0661027746411933	0.226579809101362	0	0	0.070735133356322	0	0	9.48694458389992e-05	0	0.662842959773301	0.775879870469562
TCGA-ER-A196-01A-11R-A18T-07	0.0353737676403993	0	0.0113611646255914	0	0	0.0707653475567375	0	0.0472746065442479	0.0227060206403088	0	0.0480311887569192	0	0	0.400466285599127	0	0.083726755448141	0	0.115823688409349	0	0.118004641697452	0	0.0464665330817271	0	0.722897571943754	0.710392258822513
TCGA-BF-A1PU-01A-11R-A18S-07	0.125640162523122	0	0.00477186273944289	0.0395765687215069	0	0	0	0.179139481833408	0.0244486697053143	0	0.0811175252935283	0	0	0.281488964633542	0.0276764750350174	0.176546496211526	0	0.000828199565152642	0.057378092562235	0	0.00138750117620537	0	0	0.192616145652748	1.01595922119103
TCGA-EE-A2MM-06A-11R-A18S-07	0.0747615598047503	0	0.0442513633421339	0.0825810499104136	0	0.14428547617302	0.00159440095420076	0.0728024191713812	0.0401613550226523	0	0.0272511109857325	0	0.0700302158344253	0	0.0681462790353641	0.278363839756397	0	0.0127075204768361	0.0830634095326929	0	0	0	0	0.385834605402211	0.921832564819825
TCGA-EE-A17X-06A-11R-A18S-07	0.011613382220082	0.00579625689081023	0.00980124639341164	0.0928755592349848	0	0	0	0.0558560628718754	0.0869030721061663	0	0.0828585650792248	0	0	0.475107559304769	0.0122979599744612	0.150651275206834	0	0	0.0162390607173811	0	0	0	0	0.434930867350674	0.911941320661353
